pqif,seed,nloop,cc,sigma2,tau_rec,tau_div,tau_con,tau_chn
0,1,0,0.015343311668128617,0.24724774132725957,-0.0010842052073031538,2.9873227195850932e-05,-0.002004008016032064,4.34551185291845e-06
0,1,1,0.7543268368579388,0.05926311748207713,0.12261951719621385,-0.0002499249352485614,-0.001116315666316869,-0.0003003742644485549
0,1,2,0.753550309449763,0.1165877828578714,0.061727180106737604,-0.00011916221854982912,-0.0008253717612595464,5.147959141067016e-06
0,1,3,0.7482268428021119,0.1552913974623122,0.04712929068313458,-0.00019685527014557717,-0.0013499277563904031,-0.00015549706804355635
0,1,4,0.7454861331604826,0.17919354913092825,0.039308168699861555,-0.0003402321070696003,-0.0011729616548733744,-3.137190051994649e-05
0,1,5,0.7539012724155686,0.17215437185661306,0.03874705865870781,-0.0004009822156599536,-0.0010832536655856397,-6.764343685815808e-05
0,1,6,0.7568297334892409,0.1640171914508502,0.042078950300721216,-0.0004273754290538352,-0.0012691282635601546,-3.107363652178529e-05
0,1,7,0.753743282705754,0.15454046645656672,0.044500957994457614,-0.00036979693774714803,-0.0013222416871427297,-3.7829403513851984e-05
0,1,8,0.7544830678070028,0.14704566921220083,0.04676185437658289,-0.0004439043112082296,-0.0013718634021698342,-7.978695889432875e-05
0,1,9,0.7495976169578218,0.14061116701534515,0.04725932623734464,-0.00043271500377561504,-0.0013331903504839677,-0.00010402728145412147
0,1,10,0.7562398218037845,0.13574674071018666,0.0497760856851917,-0.0003975954067301883,-0.0013436001343097696,-9.444754948905681e-05
0,1,11,0.7690284723079529,0.13574674071018666,0.0497760856851917,-0.0003975954067301883,-0.0013436001343097696,-9.444754948905681e-05
0,1,12,0.7882175364741996,0.13574674071018666,0.0497760856851917,-0.0003975954067301883,-0.0013436001343097696,-9.444754948905681e-05
0,1,13,0.7847625611994923,0.13574674071018666,0.0497760856851917,-0.0003975954067301883,-0.0013436001343097696,-9.444754948905681e-05
0,1,14,0.7488564656184479,0.13574674071018666,0.0497760856851917,-0.0003975954067301883,-0.0013436001343097696,-9.444754948905681e-05
0,1,15,0.7508470986056291,0.13574674071018666,0.0497760856851917,-0.0003975954067301883,-0.0013436001343097696,-9.444754948905681e-05
0,2,0,0.003879850694131127,0.24768261041191597,0.003286178672403263,-0.0001606814326491909,-0.002004008016032064,-1.3171056803219454e-05
0,2,1,0.7497770114468053,0.06017493149090682,0.11734012826014224,-0.0002845376834024653,-0.0010453069749070292,-3.3499647795938996e-06
0,2,2,0.752926291599651,0.11497868053672558,0.06540852453762101,-0.00012101505035669827,-0.0009914792758528752,-0.0001802959365369556
0,2,3,0.7506537787375136,0.1527961401832689,0.04622757552434832,-0.00014319912730432132,-0.001571563052004958,-0.00032014949810413627
0,2,4,0.7498773063763126,0.1696990440304905,0.03967572533125664,-0.0003716276797763264,-0.0013564512051153154,-0.00024253650185977892
0,2,5,0.754040837834263,0.16027681817040923,0.04368573376260509,-0.000429666454258569,-0.0014446375434239822,-0.00027127962564171197
0,2,6,0.755367946473497,0.14882101618000199,0.04662123005861204,-0.0004242849738251474,-0.0014276143034903555,-0.00031116069744855046
0,2,7,0.7521153525059396,0.14120438402325328,0.05015897813042228,-0.00041710956780202397,-0.0015171058642939608,-0.0003321599088474426
0,2,8,0.7560449025989553,0.13503373623925574,0.05209768273589294,-0.0004054513810250522,-0.0015229695349651003,-0.00042574809224161993
0,2,9,0.7554555336933312,0.13279778404297624,0.05299224990743905,-0.0003620926830568501,-0.001559854252455843,-0.00040553210637852015
0,2,10,0.7572147270278753,0.1264050565393114,0.05453296869079217,-0.0003023548994285894,-0.0016181446251742626,-0.00037043099455792185
0,2,11,0.6804544867487904,0.1264050565393114,0.05453296869079217,-0.0003023548994285894,-0.0016181446251742626,-0.00037043099455792185
0,2,12,0.70777795028631,0.1264050565393114,0.05453296869079217,-0.0003023548994285894,-0.0016181446251742626,-0.00037043099455792185
0,2,13,0.6871664981544539,0.1264050565393114,0.05453296869079217,-0.0003023548994285894,-0.0016181446251742626,-0.00037043099455792185
0,2,14,0.6868904353889659,0.1264050565393114,0.05453296869079217,-0.0003023548994285894,-0.0016181446251742626,-0.00037043099455792185
