pqif,seed,iloop,it,II_0,v_0,II_1,v_1,II_N2+1,v_N2+1,II_N2+2,v_N2+2
1,0,11,0,-2.258449416070769,-0.6239802889866657,2.356121865785514,-0.5483830914448904,3.2885679923836655,0.3271775849557883,-2.002258175656297,-0.7099190216050899
1,0,11,20,-2.258449416070769,-0.3417990999232976,2.356121865785514,-0.23399802388087498,3.2885679923836655,0.8882632632060115,-2.002258175656297,0.00601583362403893
1,0,11,40,-2.258449416070769,-0.12555580731832852,2.356121865785514,0.06724255939554771,3.2885679923836655,1.0914673415661276,-2.002258175656297,0.7149643750524275
1,0,11,60,-2.258449416070769,0.19328493602705843,2.356121865785514,0.2793143970967338,3.2885679923836655,0.9611241532597323,-2.002258175656297,1.0398419591233343
1,0,11,80,-2.258449416070769,0.3823464973969915,2.356121865785514,0.4982009910886467,3.2885679923836655,0.716947091438322,-2.002258175656297,1.2534584941473847
1,0,11,100,-2.258449416070769,0.509226671076508,2.356121865785514,0.5801026309407028,3.2885679923836655,0.4934892356808314,-2.002258175656297,1.3285410970343
1,0,11,120,-2.258449416070769,0.5973761088401456,2.356121865785514,0.4797038296098767,3.2885679923836655,0.34963772014328864,-2.002258175656297,1.0730089406503993
1,0,11,140,-2.258449416070769,0.6411540274387056,2.356121865785514,0.536640029679428,3.2885679923836655,0.30426276137404096,-2.002258175656297,0.8909897138870018
1,0,11,160,-2.258449416070769,0.6460548882929578,2.356121865785514,0.5229814928946346,3.2885679923836655,0.061345047281446796,-2.002258175656297,1.0409901421290133
1,0,11,180,-2.258449416070769,0.5893673671540406,2.356121865785514,0.5033517769565513,3.2885679923836655,-0.31038287799397724,-2.002258175656297,0.6849409941056483
1,0,11,200,0.0,0.6929196347875202,0.0,0.538297591969398,0.0,-0.08031899863323538,0.0,0.6531710765348704
1,0,11,220,0.0,0.4871819012294435,0.0,0.41865815761603264,0.0,-0.4951547631327955,0.0,0.18802481007981453
1,0,11,240,0.0,0.49853769865635167,0.0,0.38891093063047066,0.0,-0.8295904797223894,0.0,0.12898592873336717
1,0,11,260,0.0,0.3560092335353905,0.0,0.19898231864550564,0.0,-1.64378433286199,0.0,-0.5455278690354594
1,0,11,280,0.0,-0.02286657542676497,0.0,-0.07531060118705478,0.0,-2.476709480540303,0.0,-1.5215030128402214
1,0,11,300,0.0,-0.15976030910559308,0.0,-0.3673529528020845,0.0,-2.3483151750323774,0.0,-2.3376117397930347
1,0,11,320,0.0,-0.3536860161269554,0.0,-0.510950794782062,0.0,-2.5289292074491465,0.0,-2.176545172542162
1,0,11,340,0.0,-0.5495790511108696,0.0,-0.6688882788254937,0.0,-2.0532169384357313,0.0,-2.1948418675332806
1,0,11,360,0.0,-0.633013934180563,0.0,-0.6109619721772368,0.0,-1.5516618677871326,0.0,-2.0424692040151937
1,0,11,380,0.0,-0.6197465164623761,0.0,-0.580706118983153,0.0,-0.7195989033966506,0.0,-1.1946000522977183
1,0,11,400,0.0,-0.7594175380481103,0.0,-0.5572323869417544,0.0,-0.025813427358589103,0.0,-0.9830437579551569
1,0,11,420,0.0,-0.6238280779783674,0.0,-0.3361261656755617,0.0,0.6158511682728072,0.0,-0.05437283758779349
1,0,11,440,0.0,-0.48024963166057083,0.0,-0.21967888464551627,0.0,1.5067872535776914,0.0,0.4938452345943956
1,0,11,460,0.0,-0.21377889710423095,0.0,-0.10146937207666275,0.0,1.5507031428789841,0.0,1.1744503844055316
1,0,11,480,0.0,-0.14340585691927416,0.0,0.27219392885353266,0.0,2.419734986403469,0.0,1.6632937851145246
1,0,11,500,0.0,0.08576983909358216,0.0,0.3888343560476301,0.0,2.6171016095562734,0.0,1.9639371513675767
1,0,11,520,0.0,0.371006638903642,0.0,0.5117571084396806,0.0,2.193999314277376,0.0,1.7558271800683585
1,0,11,540,0.0,0.5045343495805372,0.0,0.6281089074900783,0.0,2.011206534175893,0.0,1.902538862047619
1,0,11,560,0.0,0.6092224734554379,0.0,0.656445707723064,0.0,1.5615744120388921,0.0,1.6591943542627616
1,0,11,580,0.0,0.7170509724184067,0.0,0.7009525447307812,0.0,0.7497999214694783,0.0,1.566631963886177
1,0,11,600,0.0,0.6528986803369163,0.0,0.5885526557211959,0.0,0.37845792465441014,0.0,0.8013162372410106
1,0,11,620,0.0,0.6491747072818818,0.0,0.5462184222646781,0.0,-0.6082934463328756,0.0,0.29276505580327733
1,0,11,640,0.0,0.518031008120534,0.0,0.28727781191392887,0.0,-1.440623308398452,0.0,-0.13419125725767211
1,0,11,660,0.0,0.3063235283671425,0.0,0.0208466177265367,0.0,-2.111055014269261,0.0,-1.0275513694901388
1,0,11,680,0.0,0.13197166646608796,0.0,-0.14628156496819816,0.0,-2.629353388846694,0.0,-1.7556432842969787
1,0,11,700,0.0,-0.027320606464795158,0.0,-0.36973523574334755,0.0,-2.8204672152057593,0.0,-2.3895488546937593
1,0,11,720,0.0,-0.24479606693653375,0.0,-0.6267065310817841,0.0,-2.593264430844121,0.0,-2.3648681020035043
1,0,11,740,0.0,-0.48266290686010094,0.0,-0.5628938528203147,0.0,-2.487810369555291,0.0,-2.091407794114842
1,0,11,760,0.0,-0.6027170967575375,0.0,-0.7539909110234366,0.0,-1.7523095257311925,0.0,-1.8628804191377335
1,0,11,780,0.0,-0.7037976246020803,0.0,-0.6699466943884267,0.0,-0.8403176836203546,0.0,-1.3434396031229392
1,0,11,800,0.0,-0.7228089056183276,0.0,-0.6390821566900027,0.0,-0.20024038199726904,0.0,-0.9961946758966611
1,0,11,820,0.0,-0.5613075931971868,0.0,-0.47729214822639354,0.0,0.8998106009866231,0.0,-0.265242241975439
1,0,11,840,0.0,-0.5024345556806876,0.0,-0.20719714725706753,0.0,1.5161998399729817,0.0,0.40516024288812913
1,0,11,860,0.0,-0.26465046088876826,0.0,-0.16434990890202808,0.0,1.7550032628071248,0.0,1.048958693737436
1,0,11,880,0.0,-0.044279238536963035,0.0,0.20298031062868077,0.0,2.2411124857692126,0.0,1.8720961688933104
1,0,11,900,0.0,0.1703904898537438,0.0,0.40909574539404087,0.0,2.8353937914099543,0.0,2.20299094623637
1,0,11,920,0.0,0.37975810305296354,0.0,0.5179730074833196,0.0,2.3935726486360585,0.0,2.0330635744410896
1,0,11,940,0.0,0.4470706545241303,0.0,0.5994884431839074,0.0,2.380289465510579,0.0,2.1731505359398477
1,0,11,960,0.0,0.6501762537586985,0.0,0.5949569648692986,0.0,1.6928049379755945,0.0,1.8514071732558162
1,0,11,980,0.0,0.7237783104926558,0.0,0.6374737130750482,0.0,0.37314299434541476,0.0,1.3090725599848372
1,0,11,1000,0.0,0.6975652345544976,0.0,0.585117447690427,0.0,-0.12274490897701706,0.0,0.85369142893166
1,0,11,1020,0.0,0.648793676493659,0.0,0.4695942131118654,0.0,-0.726252803170758,0.0,0.4818642618860098
1,0,11,1040,0.0,0.4227341526598642,0.0,0.2434899614982972,0.0,-1.4447266346890846,0.0,-0.41809492957068506
1,0,11,1060,0.0,0.34008071045772115,0.0,0.04714666523073198,0.0,-2.0914398746672056,0.0,-1.3781051809127698
1,0,11,1080,0.0,0.12810240422429164,0.0,-0.07744738877366954,0.0,-2.4243603292712503,0.0,-1.7401243523550716
1,0,11,1100,0.0,-0.031685238588066274,0.0,-0.269173154828632,0.0,-2.3361573018900526,0.0,-2.297285343735749
1,0,11,1120,0.0,-0.36058120264414373,0.0,-0.516771892934159,0.0,-2.790583097676403,0.0,-2.347257525875006
1,0,11,1140,0.0,-0.43698913101685366,0.0,-0.5121610991088079,0.0,-1.9233413006951705,0.0,-2.4570911930366517
1,0,11,1160,0.0,-0.5879810522367716,0.0,-0.5922533157496177,0.0,-1.6225764992802758,0.0,-2.016021014769509
1,0,11,1180,0.0,-0.6783624800831844,0.0,-0.6031507427678982,0.0,-1.021096658050091,0.0,-1.196743526233684
1,0,11,1200,0.0,-0.7285406345221004,0.0,-0.5808816111949513,0.0,-0.38178441053363454,0.0,-1.2678773318875034
1,0,11,1220,0.0,-0.6124835396113881,0.0,-0.5121299867139019,0.0,0.18136981524847345,0.0,-0.64375535304874
1,0,11,1240,0.0,-0.5192429777288046,0.0,-0.41481827603482024,0.0,1.1038242236338687,0.0,-0.3092782051482117
1,0,11,1260,0.0,-0.4434050287710025,0.0,-0.23000697265299225,0.0,1.988083584521431,0.0,0.8702085633475933
1,0,11,1280,0.0,-0.1571664078416857,0.0,0.03383175401135451,0.0,2.2905162045673086,0.0,1.7525329976451514
1,0,11,1300,0.0,-0.019255365831890678,0.0,0.2461302655453912,0.0,2.285306714958078,0.0,1.8269246602979208
1,0,11,1320,0.0,0.21527993322596464,0.0,0.4524607360954285,0.0,2.6536467255930605,0.0,2.3032631428258403
1,0,11,1340,0.0,0.49830318055699463,0.0,0.5699255182722054,0.0,2.7412199274961937,0.0,2.3041350162295275
1,0,11,1360,0.0,0.5072316877261952,0.0,0.6882601687433764,0.0,1.6941734222335592,0.0,2.0369722439673974
1,0,11,1380,0.0,0.6373638500570433,0.0,0.7839769738997552,0.0,0.9530957939287275,0.0,1.6671202104926741
1,0,11,1400,0.0,0.7031826938235509,0.0,0.6449967017352626,0.0,0.5181963036748555,0.0,1.1383253227072974
1,0,11,1420,0.0,0.659258526345607,0.0,0.5184527944473274,0.0,-0.5343622679423559,0.0,0.3216187352483376
1,0,11,1440,0.0,0.5510001233477391,0.0,0.3441487055646683,0.0,-0.9007984176657777,0.0,0.04930915904198274
1,0,11,1460,0.0,0.34336650459088125,0.0,0.11236326861539396,0.0,-1.845787084027083,0.0,-0.6861447945327739
1,0,11,1480,0.0,0.2545047774437941,0.0,-0.012923376289792461,0.0,-2.507841730642756,0.0,-1.874169300474298
1,0,11,1500,0.0,-0.05485502425076828,0.0,-0.29987000141908254,0.0,-2.8613302923809525,0.0,-1.9721800227772723
1,0,11,1520,0.0,-0.23070311732757195,0.0,-0.48399606961410135,0.0,-2.568442893154419,0.0,-1.9525780522291376
1,0,11,1540,0.0,-0.4078909082094272,0.0,-0.5677480985409942,0.0,-2.1512018732657463,0.0,-2.169839085849448
1,0,11,1560,0.0,-0.4965380535892361,0.0,-0.723170815429925,0.0,-1.6854564064721083,0.0,-1.8641226460949658
1,0,11,1580,0.0,-0.6171501930175024,0.0,-0.665075528926005,0.0,-0.8947811807256529,0.0,-1.323181209698482
1,0,11,1600,0.0,-0.6481484553758285,0.0,-0.5856985286726449,0.0,0.12955169267926875,0.0,-0.7444736942337906
