pqif,seed,nloop,cc,sigma2,tau_rec,tau_div,tau_con,tau_chn
0,0,0,0.0066659915881700236,0.23934332703593,0.00199051227835485,0.0005039669446598469,-0.005025125628140704,-2.000514852617917e-05
0,0,1,0.7964352459400401,0.04232288597332991,0.13549900614451135,-0.00038899542363921735,-0.004050271996510107,-0.0005756436880342332
0,0,2,0.8024443105961256,0.04062884000556711,0.14713887997778732,-0.0002797817289669185,-0.003965959284567304,-0.0010579710316038589
0,0,3,0.8008917037939236,0.03834719667195682,0.1535281166681311,-0.00042438090979590677,-0.003997931527280237,-0.0007790778232413479
0,0,4,0.7994378527143148,0.035979686299900095,0.1610747267478229,-0.00039060545665799286,-0.004053863701294953,-0.0012550897226083846
0,0,5,0.8001940909337599,0.034226435723487596,0.16771788122579986,-0.0001826007786632394,-0.004078647243994312,-0.0014757071858323943
0,0,6,0.7962715015794599,0.03340985793269389,0.1696557691856376,-0.00026589037365534805,-0.003907288422592954,-0.0012749256270920294
0,0,7,0.7977982702829755,0.032966000373299914,0.17295461852101932,-0.00018829725252866202,-0.00383472420842299,-0.001542940607554414
0,0,8,0.7994560133154346,0.0322503505456133,0.17681595673254577,-7.024159309859824e-05,-0.0039399079821655705,-0.001752478745229176
0,0,9,0.8085345733145531,0.03183831811379252,0.17885843347203104,-6.38583178487329e-05,-0.004008202359013709,-0.001822651709899582
0,0,10,0.7894610025148099,0.031401194635115065,0.1797561523697803,-0.00012316809383711513,-0.003962191360348725,-0.0018997947770170733
0,0,11,0.773637741147448,0.031401194635115065,0.1797561523697803,-0.00012316809383711513,-0.003962191360348725,-0.0018997947770170733
0,0,12,0.7893839918591801,0.031401194635115065,0.1797561523697803,-0.00012316809383711513,-0.003962191360348725,-0.0018997947770170733
0,0,13,0.80808416851373,0.031401194635115065,0.1797561523697803,-0.00012316809383711513,-0.003962191360348725,-0.0018997947770170733
0,0,14,0.8063280976676275,0.031401194635115065,0.1797561523697803,-0.00012316809383711513,-0.003962191360348725,-0.0018997947770170733
0,0,15,0.7064998318355112,0.031401194635115065,0.1797561523697803,-0.00012316809383711513,-0.003962191360348725,-0.0018997947770170733
0,1,0,-0.0015060483532246347,0.24659394625371966,-0.0017210898938692745,4.3451247745736206e-05,-0.005025125628140704,1.729738586803286e-05
0,1,1,0.7987760834254409,0.04113144595913777,0.12593468745787997,-0.00011644782552507127,-0.004043302043515252,-0.0012099898386782146
0,1,2,0.8059065518931764,0.038697313525072115,0.1345407403557471,0.0007586201758036227,-0.004370592319545097,-0.001335801241679279
0,1,3,0.796091574027069,0.03920379548669882,0.13407452726228425,0.0004371294545337226,-0.004359308474701707,-0.0015955619604462843
0,1,4,0.8010747925372774,0.03760803974110831,0.13754328041181285,0.00029130267501879516,-0.0043505921069263345,-0.0015228644471050662
0,1,5,0.8047782870119601,0.034979369090387194,0.14968165867998035,0.00046805409202119744,-0.004279648858390363,-0.0016479402785624785
0,1,6,0.7876360871269321,0.03380448328931309,0.15375662840985216,0.00044491401497835355,-0.004423835247163099,-0.001727475520704123
0,1,7,0.798014678450454,0.032304185301017745,0.16416546262042445,0.0004248316688371913,-0.004419028209018358,-0.0020751041740311965
0,1,8,0.8066566643160598,0.0313273002348552,0.16826017443955726,0.0005568805295342029,-0.004426042800790268,-0.0021027567561121654
0,1,9,0.7969898411478646,0.030727001583850395,0.1713398538994672,0.0005534762273202941,-0.004407713302291994,-0.00224918752917195
0,1,10,0.7998745183488762,0.03007376192976914,0.17759989348873173,0.0005885608650244012,-0.004415126830365852,-0.002308490266469161
0,1,11,0.7589861977265642,0.03007376192976914,0.17759989348873173,0.0005885608650244012,-0.004415126830365852,-0.002308490266469161
0,1,12,0.7916290326063218,0.03007376192976914,0.17759989348873173,0.0005885608650244012,-0.004415126830365852,-0.002308490266469161
0,1,13,0.7491433923404139,0.03007376192976914,0.17759989348873173,0.0005885608650244012,-0.004415126830365852,-0.002308490266469161
0,1,14,0.7703893101112098,0.03007376192976914,0.17759989348873173,0.0005885608650244012,-0.004415126830365852,-0.002308490266469161
0,1,15,0.7638363651997006,0.03007376192976914,0.17759989348873173,0.0005885608650244012,-0.004415126830365852,-0.002308490266469161
0,2,0,0.015748208905439594,0.23759218871512322,0.003031359363325183,-0.00023378526422619656,-0.0050251256281407045,-3.046592324949926e-05
0,2,1,0.7953859132808395,0.03892269057604804,0.14879127387103747,-0.0006006450299027523,-0.003487025568156377,-0.0005618540034540482
0,2,2,0.7938500751357366,0.037877125325032186,0.15922617802417952,-0.0010725123996798095,-0.004240132474160058,-0.0014606677606644515
0,2,3,0.7996864473724336,0.03574377926284046,0.16993236647699128,-0.000910892853876191,-0.004358844891791702,-0.0015010333094551513
0,2,4,0.7971186646596022,0.03357191809289902,0.1795904980591811,-0.0010046371676509795,-0.004381105900587684,-0.0015608425980200853
0,2,5,0.7968716431778108,0.032663055164808566,0.18432360713668777,-0.0006953324008309223,-0.004472741871538433,-0.0013746597188933742
0,2,6,0.7984944233078474,0.031310709530166105,0.19431405662541826,-0.0006008318966856761,-0.004397511761160485,-0.0013894957817168947
0,2,7,0.7923643219981072,0.030504934999473377,0.19539171615780093,-0.0005766963102924623,-0.004417363360987258,-0.0016536513310628498
0,2,8,0.7921044037572141,0.03001709424397956,0.20064025385565962,-0.0005724706898254989,-0.004407855989506599,-0.001748364276089983
0,2,9,0.7969595018494314,0.03054583993621536,0.2000987841077707,-0.0005615242560953104,-0.004412950810252327,-0.0018082481108942182
0,2,10,0.7824203436240363,0.030288135769552502,0.19991123274110886,-0.0005546328045148484,-0.004374656046515419,-0.0019222397751261593
0,2,11,0.8013680939463838,0.030288135769552502,0.19991123274110886,-0.0005546328045148484,-0.004374656046515419,-0.0019222397751261593
0,2,12,0.8068408183354739,0.030288135769552502,0.19991123274110886,-0.0005546328045148484,-0.004374656046515419,-0.0019222397751261593
0,2,13,0.8098004919861542,0.030288135769552502,0.19991123274110886,-0.0005546328045148484,-0.004374656046515419,-0.0019222397751261593
0,2,14,0.7794875893104775,0.030288135769552502,0.19991123274110886,-0.0005546328045148484,-0.004374656046515419,-0.0019222397751261593
0,2,15,0.8075759601351713,0.030288135769552502,0.19991123274110886,-0.0005546328045148484,-0.004374656046515419,-0.0019222397751261593
0,3,0,-0.022103282495406273,0.24428133532373372,0.0012895845402559117,0.0006455549853658632,-0.005025125628140704,-1.2960648645788199e-05
0,3,1,0.7949168034157278,0.04111817789157174,0.13722129931473703,0.00016209418702943328,-0.003948593922865054,-0.0003548869844487682
0,3,2,0.8019783476965197,0.03872187793594826,0.14223791182713663,-7.756983606785337e-05,-0.004084182912894224,-0.00022031395233459714
0,3,3,0.800840337658469,0.037792749100702336,0.14509002034436624,-8.857680852328953e-06,-0.004159859706157993,-0.0006015976911018348
